w,r,hd,hd95da,hd95db,hd50da,hd50db,mua,mub,volA,volB,volABc,volBAc,volAB,DSC,lengthA,nAPLA1mm,nAPLA2mm,lengthB,nAPLB1mm,nAPLB2mm
10,7.071067812,7.07106781173095,6.72204641213372,4.80755573990226,4.10927207549895,3.46718517549383,4.40686793496319,3.63380227620307,400,157.079632685466,242.920367314534,0,157.079632685466,0.563939600262339,80,1,1,44.4288293824289,1,1
10,10,4.14213562373095,3.79311422413372,2.65677490564314,1.18033988749895,0.761204674887132,1.47793574696319,0.99683683842894,400,314.159265358979,85.8407346410207,0,314.159265358979,0.879801692976885,80,0.541742430504416,0.33667504192892,62.8318530717959,0.425734827485175,0.180668941203466
10,11.28379167,2.85834395373095,2.50932255413372,1.71405778493612,1.04300805764222,0.943062287465394,1.0780121099023,0.88667186275875,400,399.999999932283,36.2183875481682,36.2183874804514,363.781612451832,0.909454031206561,80,0.526541334928238,0.125590935934666,70.8981540302194,0.461760345029494,0.00338024362374201
10,14.14213562,4.14213562,4.12964342274961,4.1312325459582,2.961795736232,3.06562964876377,2.6641998730368,2.7323954439926,400,628.318530386435,-2.12049221218319e-14,228.318530386435,400,0.777969059547498,80,0.852735179610134,0.688704997908921,88.8576587397251,0.865307196864408,0.709956875713135
20,14.14213562,14.1421356274619,13.4440928282674,9.61511148274181,8.2185441549979,6.93437035468318,8.81373587392637,7.26760455600741,1600,628.318530386435,971.681469613565,0,628.318530386435,0.563939600033279,160,1,1,88.8576587397251,1,1
20,20,8.2842712474619,7.58622844826744,5.31354981128629,2.3606797749979,1.52240934977426,2.95587149392637,1.99367367685788,1600,1256.63706143592,343.362938564083,0,1256.63706143592,0.879801692976885,160,0.679843788128358,0.541742430504416,125.663706143592,0.59566950358296,0.425734827485175
20,22.56758334,5.7166879074619,5.01864510826744,3.42811556987223,2.08601611528444,1.88612457493079,2.1560242198046,1.7733437255175,1600,1599.99999972913,144.873550192673,144.873549921806,1455.12644980733,0.909454031206561,160,0.780250921173503,0.526541334928238,141.796308060439,0.751646190518534,0.461760345029494
20,28.28427125,8.28427125,8.25928685549921,8.26246510190869,5.923591472464,6.13125929752753,5.32839975607362,5.46479089698835,1600,2513.27412332289,1.1373837327077e-13,913.274123322894,1600,0.777969059211374,160,0.927943233236248,0.852735180380721,177.715317542282,0.934631668204583,0.865307197421522
40,28.28427125,28.2842712449238,26.8881856465349,19.2302229581404,16.4370882999958,13.8687407001276,17.6274717378527,14.5352091030117,6400,2513.27412332289,3886.72587667711,0,2513.27412332289,0.563939600319605,320,1,1,177.715317542282,1,1
40,40,16.5685424949238,15.1724568965349,10.6270996225726,4.7213595499958,3.04481869954853,5.91174298785274,3.98734735371576,6400,5026.54824574367,1373.45175425633,0,5026.54824574367,0.879801692976885,320,0.775,0.679843788128358,251.327412287183,0.71469848575591,0.59566950358296
40,45.13516668,11.4333758149238,10.0372902165349,6.85623113974446,4.17203223056887,3.77224914986158,4.3120484396092,3.546687451035,6400,6399.99999891653,579.494200770691,579.494199687223,5820.50579922931,0.909454031206561,320,0.891607642001428,0.780250921173503,283.592616120878,0.877645247371669,0.751646190518534
40,56.56854249,16.56854249,16.5185737009984,16.5249301938251,11.847182944928,12.2625185950551,10.6567995021472,10.9295817849735,6400,10053.0964897373,-3.97709981386009e-13,3653.09648973727,6400,0.777969059379436,320,0.964320652863628,0.927943232868711,355.430635021732,0.967757341492097,0.93463166795512
80,56.56854249,56.5685424998476,53.7763713030698,38.460445923624,32.8741766099916,27.7374814094939,35.2549434857055,29.0704182150265,25600,10053.0964897373,15546.9035102627,0,10053.0964897373,0.563939600176442,640,1,1,355.430635021732,1,1
80,80,33.1370849898476,30.3449137930698,21.2541992451452,9.44271909999159,6.08963739909706,11.8234859757055,7.97469470743152,25600,20106.1929829747,5493.80701702532,0,20106.1929829747,0.879801692976885,640,0.841392780744381,0.775,502.654824574367,0.798472854532607,0.71469848575591
80,90.27033337,22.8667516198476,20.0745804230698,13.7124622721457,8.34406446575036,7.54449830427709,8.62409687967274,7.09337490486342,25600,25600.000001338,2317.97680088928,2317.97680222727,23282.0231991107,0.909454031191496,640,0.945976907899583,0.891607642046338,567.185232304587,0.939035644834085,0.877645247435968
80,113.137085,33.137085,33.0371474219968,33.0498604076348,23.694365889856,24.5250371901101,21.3135990242944,21.8591635879534,25600,40212.3859731663,1.81981397233232e-12,14612.3859731663,25600,0.777969059211374,640,0.982242796510334,0.964320653223782,710.861270169128,0.983983344343708,0.967757341728874
