Test ID,RefOrgan,TestOrgan,HD,HD95_ref2test,HD95_test2ref,MD_ref2test,MD_test2ref,AD_ref2test,AD_test2ref,RefVol,TestVol,TPVol,FNVol,FPVol,three_D_DSC,ref_length,test_length,APL,cent_dist
1,ShapeA1,ShapeB1,7.071068,6.726812,4.816683,4.115332,3.482725,4.417770,3.645106,8000.000000,3130.008910,3130.008910,4869.991090,0.000000,0.562445,1600.000000,887.756720,1600.000000,0.000000
2,ShapeA2,ShapeB2,4.142636,3.797556,2.663376,1.183792,0.760510,1.487017,1.004341,8000.000000,6271.419597,6271.419597,1728.580403,0.000000,0.878878,1600.000000,1256.048486,867.529593,0.000000
3,ShapeA3,ShapeB3,2.858384,2.519628,1.726783,1.044742,0.942324,1.078282,0.885415,8000.000000,7989.901225,7271.183799,728.816201,718.717427,0.909472,1600.000000,1417.515437,843.666560,0.000000
4,ShapeA4,ShapeB4,4.141816,4.121854,4.122358,2.951728,3.063860,2.657387,2.727267,8000.000000,12555.666573,8000.000000,0.000000,4555.666573,0.778374,1600.000000,1776.774646,1362.088593,0.000000
5,ShapeA5,ShapeB5,14.142136,13.453470,9.627280,8.227464,6.936140,8.818782,7.272733,64000.000000,25111.333147,25111.333147,38888.666853,0.000000,0.563595,6400.000000,3553.549292,6400.000000,0.000000
6,ShapeA6,ShapeB6,8.285271,7.591583,5.321271,2.361047,1.527461,2.959814,1.996606,64000.000000,50244.631698,50244.631698,13755.368302,0.000000,0.879597,6400.000000,5026.026925,4351.414926,0.000000
7,ShapeA7,ShapeB7,5.716767,5.027067,3.437495,2.082901,1.882205,2.155761,1.772414,64000.000000,63979.774675,58197.194685,5802.805315,5782.579990,0.909475,6400.000000,5671.404183,4992.333910,0.000000
8,ShapeA8,ShapeB8,8.284224,8.254951,8.261151,5.918473,6.129964,5.324932,5.462771,64000.000000,100509.077423,64000.000000,0.000000,36509.077423,0.778073,6400.000000,7108.225756,5935.986216,0.000000
9,ShapeA9,ShapeB9,28.284271,26.896573,19.234133,16.441832,13.870036,17.630037,14.537229,512000.000000,201018.154846,201018.154846,310981.845154,0.000000,0.563851,25600.000000,14216.451511,25600.000000,0.000000
10,ShapeA10,ShapeB10,16.570543,15.172457,10.625783,4.722093,3.046414,5.913531,3.988643,512000.000000,402085.222356,402085.222356,109914.777644,0.000000,0.879754,25600.000000,20105.709999,19843.228620,0.000000
11,ShapeA11,ShapeB11,11.433535,10.038146,6.865272,4.170853,3.774790,4.311862,3.546256,512000.000000,511961.393824,465625.919077,46374.080923,46335.474747,0.909460,25600.000000,22686.981616,22825.813123,0.000000
12,ShapeA12,ShapeB12,16.568485,16.517021,16.523493,11.844771,12.260777,10.655155,10.928658,512000.000000,804205.999817,512000.000000,0.000000,292205.999817,0.777994,25600.000000,28434.082049,24683.516044,0.000000
13,ShapeA13,ShapeB13,56.568542,53.776377,38.462940,32.876228,27.739223,35.256159,29.071342,4096000.000000,1608411.999634,1608411.999634,2487588.000366,0.000000,0.563919,102400.000000,56868.164098,102400.000000,0.000000
14,ShapeA14,ShapeB14,33.139430,30.344914,21.254999,9.444000,6.088814,11.824481,7.974850,4096000.000000,3216907.326115,3216907.326115,879092.673885,0.000000,0.879789,102400.000000,80424.249716,86160.786078,0.000000
15,ShapeA15,ShapeB15,22.867070,20.075384,13.711134,8.342003,7.544653,8.623985,7.093205,4096000.000000,4095922.081919,3725095.109969,370904.890031,370826.971950,0.909456,102400.000000,90749.205582,96868.884983,0.000000
16,ShapeA16,ShapeB16,33.137059,33.036997,33.049072,23.693089,24.525461,21.312786,21.859167,4096000.000000,6433899.043410,4096000.000000,0.000000,2337899.043410,0.777975,102400.000000,113737.437694,100578.456563,0.000000
